Video_title,Comment_id,Comment_content,Time,Username,Channel_user,Likes,Photo_thumbnails,Hearted_by_video_publisher
探索最強康文署健身室 I 絕無僅有 - YouTube,UgxoSZoTq6KQjsN7_NB4AaABAg,期待下集大西北！,2 個月前,@wglo2004,UCf-9-l2R1dsBEBRNtbZx2fQ,4,https://yt3.ggpht.com/ytc/APkrFKZxWsbS1IoGig_JbYw7il8ZsRf6GniaVzw2mMntZg=s176-c-k-c0x00ffffff-no-rj,False
探索最強康文署健身室 I 絕無僅有 - YouTube,UgyMOal04hXy7Yh_NDN4AaABAg,大埔體育館始終係我覺得操野最好既,2 個月前,@wongwilliam5427,UC24UqI-sphoAPMDvsLyD_GQ,8,https://yt3.ggpht.com/ytc/APkrFKZfBEUWhfdHG5io44FTys5rcrFj96thETolQg=s176-c-k-c0x00ffffff-no-rj,False
探索最強康文署健身室 I 絕無僅有 - YouTube,UgydBV4NUKUH1Z5otFV4AaABAg,唔計大場，以我多年係康文操練既經驗，屯門，大埔，荃灣區既人健身水準幾高，同埋較多人玩健美😂,2 個月前,@5eric6man7,UCOi_I2ssErnx8m1xzAKxMMw,3,https://yt3.ggpht.com/ytc/APkrFKaWf0yCiYtEG6Bw0SRo5wNyPcpdtp2LAx5IxA=s176-c-k-c0x00ffffff-no-rj,False
探索最強康文署健身室 I 絕無僅有 - YouTube,UgwtfbucvtbWjSvNPXR4AaABAg,車公廟康文署絕對值得一去,2 個月前,@yuntungcheng6832,UCC98R9e14JmKpWIv2y78ucQ,7,https://yt3.ggpht.com/ytc/APkrFKbmCarIzJvNd_3EWsTLWEvh6QqE72DU30Dblg=s176-c-k-c0x00ffffff-no-rj,False
探索最強康文署健身室 I 絕無僅有 - YouTube,Ugyh36794T4JppVq5kF4AaABAg,幾時拍埋東昌街果個呀 好期待你拍,2 個月前,@KENKEN-bw7hp,UCD9ZNBtt_qcJfHI2YUaiR5A,6,https://yt3.ggpht.com/ytc/APkrFKYxHatUI9RzF-fbXXkasiv59Z2zGH92blXM6g=s176-c-k-c0x00ffffff-no-rj,False
探索最強康文署健身室 I 絕無僅有 - YouTube,Ugwp2_iza4Or3w0403d4AaABAg,去過最細又去過最大，而家去緊出面會員嘅，支持拍埋大西北,2 個月前,@coenghei,UCTf-jB507HYWk5i0zLEzO4w,0,https://yt3.ggpht.com/ytc/APkrFKZg-gSvJuMbQI4LddsQbodNqnHvJORJvf0MPR-YJw=s176-c-k-c0x00ffffff-no-rj,False
探索最強康文署健身室 I 絕無僅有 - YouTube,UgyIrHycO9wJTYF5igF4AaABAg,紅磡市政大廈體育館唔知係唔係新開左健身室但得36平方米，有無機會係最細,2 個月前,@reganlau3219,UCVOWVoyotY_hVymb9tTREbg,1,https://yt3.ggpht.com/ytc/APkrFKbfQQYR-7rFqbcWcgsuCa4E6GEFmiHrR7-4wlgnrQ=s176-c-k-c0x00ffffff-no-rj,False
探索最強康文署健身室 I 絕無僅有 - YouTube,Ugw5VXj5oThpEzr1eIV4AaABAg,桿鈴區無木板踩腳底既。奧林匹克即係舉重標準，即係舉重台，應該有彈力舉重餅，舉重台可以舉高掉杆。😅😅😅,2 個月前,@user-ds9by6hn9w,UCrtRF26jZFPGD-f5jy8m-7w,2,https://yt3.ggpht.com/ytc/APkrFKbboC2BmrjmC_XeM6Pq_UbIZqUPmns2P7_L5A=s176-c-k-c0x00ffffff-no-rj,False
探索最強康文署健身室 I 絕無僅有 - YouTube,Ugx9gyvqt_Z8XLQnniF4AaABAg,比磨菇幅圖笑L死🤣,2 個月前,@kennyso0826,UC-wzK8-PiL5Mps0CvNbwosw,2,https://yt3.ggpht.com/ytc/APkrFKZl9_05mc0eJbvLD32vfegzWEP2nmTtF9ZiJg=s176-c-k-c0x00ffffff-no-rj,False
探索最強康文署健身室 I 絕無僅有 - YouTube,UgyFiH84DnLF1TEBIfN4AaABAg,辛苦晒，多謝介紹，多謝蒐集。,2 個月前,@user-ni6pm3kn2r,UC3R3AhuMsZO4RGCKxJpLAmg,0,https://yt3.ggpht.com/ytc/APkrFKbDBTTIwAPalQstR-5CA3WG1s5-Ii3w_KU8AQ=s176-c-k-c0x00ffffff-no-rj,False
